,station_id,stationname,date,daytype,rides
60,40890,O'Hare Airport,12/26/2017,W,"11,094"
538,40890,O'Hare Airport,12/01/2017,W,"12,447"
671,40890,O'Hare Airport,12/11/2017,W,"10,136"
857,40890,O'Hare Airport,12/12/2017,W,"9,406"
1062,40890,O'Hare Airport,12/25/2017,U,"7,244"
1277,40890,O'Hare Airport,12/18/2017,W,"10,813"
1355,40890,O'Hare Airport,12/29/2017,W,"10,562"
1543,40890,O'Hare Airport,12/22/2017,W,"9,493"
1704,40890,O'Hare Airport,12/31/2017,U,"7,361"
1953,40890,O'Hare Airport,12/16/2017,A,"8,450"
1993,40890,O'Hare Airport,12/10/2017,U,"8,994"
2103,40890,O'Hare Airport,12/07/2017,W,"10,554"
2121,40890,O'Hare Airport,12/24/2017,U,"6,777"
2368,40890,O'Hare Airport,12/15/2017,W,"11,057"
2425,40890,O'Hare Airport,12/03/2017,U,"9,308"
2690,40890,O'Hare Airport,12/19/2017,W,"10,193"
2937,40890,O'Hare Airport,12/27/2017,W,"11,154"
3034,40890,O'Hare Airport,12/02/2017,A,"8,542"
3210,40890,O'Hare Airport,12/06/2017,W,"9,540"
3249,40890,O'Hare Airport,12/28/2017,W,"11,141"
3665,40890,O'Hare Airport,12/17/2017,U,"9,018"
3708,40890,O'Hare Airport,12/14/2017,W,"10,629"
3715,40890,O'Hare Airport,12/30/2017,A,"8,847"
3736,40890,O'Hare Airport,12/21/2017,W,"9,558"
3804,40890,O'Hare Airport,12/13/2017,W,"9,306"
3823,40890,O'Hare Airport,12/04/2017,W,"9,785"
3858,40890,O'Hare Airport,12/20/2017,W,"9,799"
3957,40890,O'Hare Airport,12/09/2017,A,"8,033"
3968,40890,O'Hare Airport,12/08/2017,W,"11,875"
4334,40890,O'Hare Airport,12/23/2017,A,"7,578"
4394,40890,O'Hare Airport,12/05/2017,W,"9,669"
4676,40890,O'Hare Airport,02/20/2018,W,"10,017"
4743,40890,O'Hare Airport,03/22/2018,W,"10,836"
4845,40890,O'Hare Airport,03/28/2018,W,"10,298"
5089,40890,O'Hare Airport,01/12/2018,W,"8,264"
5205,40890,O'Hare Airport,02/04/2018,U,"7,315"
5348,40890,O'Hare Airport,01/07/2018,U,"7,228"
5665,40890,O'Hare Airport,01/25/2018,W,"9,090"
5714,40890,O'Hare Airport,01/16/2018,W,"7,774"
5850,40890,O'Hare Airport,03/21/2018,W,"9,427"
5865,40890,O'Hare Airport,01/14/2018,U,"6,114"
5913,40890,O'Hare Airport,01/04/2018,W,"8,278"
5990,40890,O'Hare Airport,02/12/2018,W,"10,257"
6140,40890,O'Hare Airport,03/01/2018,W,"9,506"
6228,40890,O'Hare Airport,02/26/2018,W,"10,061"
6323,40890,O'Hare Airport,03/16/2018,W,"13,995"
6595,40890,O'Hare Airport,01/08/2018,W,"9,362"
6655,40890,O'Hare Airport,02/16/2018,W,"11,521"
7209,40890,O'Hare Airport,03/07/2018,W,"9,193"
7215,40890,O'Hare Airport,02/17/2018,A,"7,786"
7576,40890,O'Hare Airport,03/11/2018,U,"9,449"
7804,40890,O'Hare Airport,01/01/2018,U,"8,226"
7984,40890,O'Hare Airport,02/14/2018,W,"8,724"
8368,40890,O'Hare Airport,01/11/2018,W,"7,996"
8600,40890,O'Hare Airport,03/15/2018,W,"12,314"
8803,40890,O'Hare Airport,02/22/2018,W,"9,912"
8821,40890,O'Hare Airport,01/18/2018,W,"7,490"
9300,40890,O'Hare Airport,03/09/2018,W,"10,942"
9518,40890,O'Hare Airport,03/05/2018,W,"9,879"
9529,40890,O'Hare Airport,02/09/2018,W,"9,127"
9538,40890,O'Hare Airport,03/24/2018,A,"8,995"
9667,40890,O'Hare Airport,02/10/2018,A,"7,658"
9868,40890,O'Hare Airport,03/04/2018,U,"8,795"
10001,40890,O'Hare Airport,01/22/2018,W,"9,193"
10108,40890,O'Hare Airport,02/23/2018,W,"10,450"
10141,40890,O'Hare Airport,03/03/2018,A,"8,166"
10162,40890,O'Hare Airport,02/25/2018,U,"8,639"
10865,40890,O'Hare Airport,02/07/2018,W,"8,148"
10901,40890,O'Hare Airport,03/23/2018,W,"11,488"
10959,40890,O'Hare Airport,01/05/2018,W,"8,561"
10970,40890,O'Hare Airport,01/19/2018,W,"8,293"
11223,40890,O'Hare Airport,02/24/2018,A,"7,458"
11639,40890,O'Hare Airport,03/02/2018,W,"10,498"
11818,40890,O'Hare Airport,03/19/2018,W,"10,574"
11862,40890,O'Hare Airport,01/30/2018,W,"8,433"
11874,40890,O'Hare Airport,03/06/2018,W,"9,429"
11913,40890,O'Hare Airport,03/14/2018,W,"9,997"
11975,40890,O'Hare Airport,01/06/2018,A,"6,790"
12019,40890,O'Hare Airport,03/12/2018,W,"10,582"
12274,40890,O'Hare Airport,02/27/2018,W,"9,074"
12317,40890,O'Hare Airport,02/08/2018,W,"10,129"
12408,40890,O'Hare Airport,01/28/2018,U,"8,122"
12530,40890,O'Hare Airport,02/19/2018,W,"10,325"
12582,40890,O'Hare Airport,03/31/2018,A,"7,233"
12586,40890,O'Hare Airport,02/03/2018,A,"6,994"
12663,40890,O'Hare Airport,03/30/2018,W,"10,297"
12774,40890,O'Hare Airport,03/13/2018,W,"9,166"
12836,40890,O'Hare Airport,01/15/2018,W,"7,684"
13297,40890,O'Hare Airport,03/08/2018,W,"10,088"
13387,40890,O'Hare Airport,03/27/2018,W,"10,602"
13437,40890,O'Hare Airport,01/02/2018,W,"9,835"
13692,40890,O'Hare Airport,03/29/2018,W,"11,930"
13979,40890,O'Hare Airport,01/03/2018,W,"9,038"
14066,40890,O'Hare Airport,02/28/2018,W,"8,708"
14071,40890,O'Hare Airport,02/06/2018,W,"8,795"
14164,40890,O'Hare Airport,03/20/2018,W,"9,823"
14469,40890,O'Hare Airport,02/21/2018,W,"9,632"
14523,40890,O'Hare Airport,02/01/2018,W,"8,914"
14524,40890,O'Hare Airport,03/10/2018,A,"8,328"
